Sequence;Type;d_molpdf;d_dope_score;d_normalized_dope;d_GA341_score;d_zscore;d_maxsub;d_lgscore;d_Z-score_mammoth;d_TM-score_mammoth;d_RMSD_TMalign;d_TM-score_TMalign;molpdf_ref;dope_score_ref;normalized_dope_ref;GA341_score_ref;zscore_ref;maxsub_ref;lgscore_ref;Z-score_mammoth_ref;TM-score_mammoth_ref;RMSD_TMalign_ref;TM-score_TMalign_ref;molpdf_tneg;dope_score_tneg;normalized_dope_tneg;GA341_score_tneg;zscore_tneg;maxsub_tneg;lgscore_tneg;Z-score_mammoth_tneg;TM-score_mammoth_tneg;RMSD_TMalign_tneg;TM-score_TMalign_tneg
GOB_3_AF189291_ref_blab3;Ref;-7822,36;-7219,54;-2,03;0,02;-5,13;0,34;3,38;3,16;0,2;-2,01;0,13;9213,46;-30519,67;-1,94;1;-6,66;0,62;5,93;11,5;0,95;1;0,92;17035,82;-23300,13;0,09;0,98;-1,53;0,28;2,55;8,34;0,75;3,01;0,79
GOB_5_AF189290_ref_blab3;Ref;-6550,9;-3905,7;-1,1;0,02;-1,71;0,32;2,23;1,78;0,14;-0,89;0,12;9467,58;-30323,85;-1,95;1;-6,86;0,61;5,83;11,5;0,95;0,87;0,92;16018,48;-26418,14;-0,85;0,98;-5,15;0,29;3,6;9,72;0,82;1,76;0,8
GOB_6_AF189292_ref_blab3;Ref;-6586,63;-4008,87;-1,13;0,05;-1,86;0,41;2,31;1,84;0,14;-0,87;0,12;9424;-30331,17;-1,93;1;-6,83;0,69;6,09;11,5;0,95;0,98;0,92;16010,63;-26322,3;-0,81;0,95;-4,97;0,28;3,78;9,66;0,81;1,85;0,8
GOB_7_AF189297_ref_blab3;Ref;-8057,94;-5621,39;-1,58;0,05;-3,78;0,25;2,02;2;0,1;-1,44;0,05;8983,9;-30684,94;-2,06;1;-6,9;0,69;6,26;11,5;0,96;0,84;0,92;17041,84;-25063,54;-0,48;0,95;-3,12;0,45;4,23;9,5;0,86;2,28;0,88
CMG_AY265892_ref_blac;Ref;-2481,34;-5062,29;-1,02;0;-1,11;-0,09;-0,42;2,16;0,11;-0,63;0,08;11887,62;-41042,84;-1,26;1;-7,99;0,42;3,95;12,95;0,95;0,4;0,93;14368,96;-35980,55;-0,24;1;-6,88;0,51;4,37;10,79;0,85;1,03;0,85
ZEG_1_AY265891_ref_blac;Ref;-8241,16;-6300,76;-1,32;0;-2,65;0,09;0,98;2,36;0,14;-1,17;0,07;11724,22;-40392,1;-1,68;1;-8,87;0,48;4,96;13,35;0,99;0,55;0,93;19965,38;-34091,34;-0,36;1;-6,22;0,39;3,97;10,99;0,86;1,72;0,86
L_1_AJ272109_ref_blab3;Ref;-22330,32;-4512,34;-1,08;0,17;-2,66;0,22;1,36;3,11;0,17;-1,74;0,15;9573,79;-31496,82;-0,73;1;-6,68;0,5;4,84;11,59;0,94;1,11;0,94;31904,11;-26984,48;0,35;0,83;-4,02;0,28;3,48;8,48;0,76;2,85;0,79
CAR_1_YP_050940_1._ref_blab3;Ref;-15476,37;-3770,67;-0,78;0;-3,45;0,26;2,24;2,44;0,19;-1,57;0,18;10248,13;-33952,89;-0,33;1;-7,88;0,36;3,85;11,55;0,94;1,19;0,95;25724,5;-30182,22;0,45;1;-4,43;0,1;1,61;9,11;0,75;2,76;0,76
MGBLAA_KF627237_1_ref_blaa;Ref;-24798,05;-4685,23;-1,14;0,06;-5,94;0,09;1,07;2,17;0,14;-1,99;0,12;10633,08;-33726,29;-0,94;1;-6,84;0,44;5,26;11,9;0,95;0,8;0,95;35431,13;-29041,05;0,21;0,94;-0,9;0,35;4,19;9,73;0,8;2,79;0,82
Aph3_Vb_M22126_ref_aph;Ref;-33081,38;-10477,42;-2,82;0,86;-8,48;0,52;3,42;9,46;0,6;-3,83;0,56;10378,88;-28177,38;-1,06;1;-8,08;0,63;4,95;11,62;0,94;1,45;0,95;43460,25;-17699,96;1,76;0,14;0,4;0,12;1,53;2,16;0,34;5,28;0,39
Aph3_VIb_AJ627643_ref_aph;Ref;-8011,83;-7756,66;-2,12;0,74;-5,61;0,39;2,75;7,39;0,45;-2,58;0,38;10192,86;-28964,02;-0,79;1;-5,95;0,48;4,27;11,53;0,95;1,47;0,95;18204,69;-21207,36;1,33;0,26;-0,34;0,1;1,52;4,14;0,5;4,05;0,56
Aph3_IV_X03364_ref_aph;Ref;-11090,5;-5602,06;-1,51;0,03;-3,36;0,25;1,42;2,98;0,23;-2,3;0,27;9485,44;-29733,97;-1,1;1;-8,46;0,6;4,65;11,45;0,95;1,17;0,95;20575,94;-24131,9;0,41;0,97;-5,1;0,35;3,22;8,47;0,72;3,47;0,67
Aph3_Vc_S81599_ref_aph;Ref;-20932,76;-9217,65;-2,47;0,63;-7,42;0,4;2,39;9,88;0,59;-3,83;0,51;10404,07;-29097,16;-1,18;1;-8,43;0,59;4,67;11,68;0,95;1,32;0,95;31336,84;-19879,51;1,29;0,37;-1,01;0,19;2,28;1,8;0,36;5,15;0,44
OXA_61_AY587956_ref_blad;Ref;-1898,44;-2190,33;-0,6;0;-1,39;0,07;-0,01;0,22;0,02;-0,04;0;8717,79;-33291;-1,5;1;-6,79;0,61;4,74;11,5;0,95;1,1;0,95;10616,24;-31100,67;-0,9;1;-5,4;0,54;4,75;11,28;0,93;1,14;0,95
Aph3_VIIa_M29953_ref_aph;Ref;-11059,37;-6801,03;-1,93;0,51;-4,16;0,46;2,75;4,3;0,33;-3,25;0,37;8943,36;-29701,75;-0,82;1;-7,33;0,61;4,28;11,94;0,99;0,58;0,95;20002,73;-22900,72;1,11;0,49;-3,17;0,15;1,53;7,64;0,67;3,83;0,58
AphA6_JF949760_ref_aph;Ref;-8859,25;-6792,47;-1,86;0,64;-3,75;0,38;2,85;7,05;0,45;-3,77;0,43;10179,29;-28850,02;-0,73;1;-6,06;0,49;4,25;11,64;0,96;0,93;0,95;19038,54;-22057,55;1,13;0,36;-2,31;0,11;1,4;4,59;0,5;4,7;0,52
HGE-1_ACT97384_1_ref_blaa;Ref;-17952,07;-4260,64;-1,02;0;-3,52;0,02;0,63;1,13;0,07;-0,6;0,06;10236,81;-33031,94;-1,07;1;-6,5;0,49;4,9;11,95;0,95;1,32;0,95;28188,88;-28771,29;-0,05;1;-2,98;0,47;4,27;10,82;0,88;1,92;0,89
BLAZ_P00807_ref_blaa;Ref;166,32;-1532,18;-0,39;0;0,67;0,13;0,96;0,58;0,01;0,59;0,01;19379,54;-28683,59;-0,83;1;-4,62;0,45;4,87;12,04;0,95;1,39;0,95;19213,22;-27151,41;-0,45;1;-5,29;0,32;3,91;11,45;0,94;0,8;0,94
AphA15_Y18050_ref_aph;Ref;-3645,6;-8207,01;-2,2;0,97;-4,54;0,42;2,76;6,81;0,42;-2,71;0,45;9721,91;-29965,38;-0,92;1;-7,61;0,5;3,96;11,66;0,95;1,45;0,95;13367,51;-21758,37;1,28;0,03;-3,07;0,07;1,2;4,85;0,53;4,16;0,51
CCRA_YP_004735262_1_ref_blab1;Ref;-24946,14;-4606,64;-1,32;0,02;-2,09;0,2;1,9;5,31;0,35;-2,9;0,3;7642,55;-27065,03;-1,08;1;-7,2;0,49;4,83;10,84;0,95;0,84;0,95;32588,69;-22458,39;0,24;0,98;-5,11;0,29;2,92;5,53;0,59;3,74;0,66
BRO_1_Q59514_ref_blaa;Ref;-8456,73;-4405,15;-1;0;-1,07;0,14;1,35;0,67;0,04;-0,36;0,04;11914,36;-34999,33;-0,98;1;-6,62;0,45;4,86;11,84;0,96;1,11;0,96;20371,09;-30594,18;0,01;1;-5,55;0,31;3,51;11,17;0,91;1,47;0,92
Aph3_Ib_AB366441_ref_aph;Ref;-16992,39;-6482,57;-1,72;0,69;-5,23;0,3;2,17;8,2;0,53;-3,99;0,47;9862,98;-28772,14;-1,02;1;-8,05;0,45;3,92;11,62;0,95;1,16;0,96;26855,37;-22289,58;0,7;0,31;-2,82;0,15;1,75;3,42;0,43;5,15;0,49
FUS_1_AAP69916_1_ref_blad;Ref;-2209,82;-3446,68;-0,96;0;-1,69;0,17;1,04;0,41;0,01;0,27;0;7410,38;-33697,86;-2,08;1;-8,21;0,68;5,45;11,81;0,96;1,2;0,96;9620,2;-30251,18;-1,12;1;-6,52;0,51;4,42;11,4;0,95;0,93;0,97
LoxA_NC_002942_ref_blad;Ref;-1658,33;-2218,36;-0,56;0;-1,99;0,07;0,6;0,06;0,01;0;0;9394,59;-32748,13;-1;1;-5,86;0,41;4,02;11,46;0,95;1,14;0,96;11052,92;-30529,77;-0,44;1;-3,87;0,34;3,42;11,4;0,95;1,14;0,95
OXA_136_EU086830_ref_blad;Ref;-2001,35;-855,14;-0,23;0;-0,54;0,09;0,9;0,23;-0,01;0,39;-0,02;8398,3;-32747,46;-1,54;1;-6,61;0,55;4,97;11,81;0,96;1,17;0,96;10399,65;-31892,32;-1,32;1;-6,07;0,46;4,07;11,58;0,97;0,78;0,98
OXA_29_AJ400619_ref_blad;Ref;-1996,85;-2454,7;-0,65;0;-0,95;-0,04;0,42;-0,04;0,03;-0,36;0,03;8955,54;-32747,15;-1,55;1;-6,04;0,45;4,52;11,34;0,96;1,06;0,96;10952,39;-30292,45;-0,9;1;-5,09;0,49;4,1;11,38;0,93;1,42;0,93
OXA_60_AY664505_ref_blad;Ref;-2118,42;282,9;0,07;0;0,01;0;-0,04;-0,06;0;0;-0,01;8217,95;-31467,04;-0,9;1;-6,85;0,55;4,34;11,64;0,96;0,99;0,96;10336,38;-31749,95;-0,97;1;-6,86;0,56;4,38;11,7;0,96;0,99;0,97
OXA_63_AY619003_ref_blad;Ref;-1509,03;-504,22;-0,13;0;-0,96;0,09;0,44;0,17;-0,01;0,38;-0,02;8668,59;-32412,73;-1,39;1;-5,99;0,52;4,54;11,75;0,96;1,28;0,96;10177,62;-31908,51;-1,26;1;-5,03;0,43;4,1;11,58;0,97;0,9;0,98
OXA_MFLA_YP_546583_1_ref_blad;Ref;-1716,47;-970,75;-0,26;0;-0,74;-0,03;-0,04;0,06;0,01;0,35;-0,02;8255,03;-31548,68;-1,25;1;-6,94;0,47;4,12;11,69;0,96;1,11;0,96;9971,5;-30577,94;-0,98;1;-6,2;0,51;4,15;11,62;0,95;0,76;0,98
OXA_SDEN_YP_393464_1_ref_blad;Ref;-1888,11;-785,84;-0,21;0;-0,67;0,04;-0,06;0,31;0,01;-0,02;0;8529,06;-33343,73;-1,26;1;-6,16;0,57;4,59;11,81;0,96;1,17;0,96;10417,17;-32557,9;-1,06;1;-5,49;0,54;4,65;11,5;0,96;1,19;0,97
ACC_3_AF180957_ref_blac;Ref;-5765,37;-5739,39;-1,08;0;-1,94;-0,03;0,64;1,51;0,09;-1,07;0,09;10632,08;-42856,02;-1,19;1;-8,05;0,37;4,78;13,06;0,96;0,52;0,96;16397,45;-37116,63;-0,11;1;-6,11;0,4;4,14;11,55;0,87;1,59;0,87
BLR5_ACH59002_1_ref_blaa;Ref;-4709,09;-2192,81;-0,48;0;-2,4;0,16;0,57;-0,16;-0,02;-0,12;-0,02;9811,25;-34597,83;-0,81;1;-8,45;0,47;4,64;11,99;0,96;0,55;0,96;14520,34;-32405,02;-0,33;1;-6,05;0,31;4,07;12,14;0,98;0,67;0,98
FIM_1_AFV91534_1_ref_blab1;Ref;-5351,17;-6607,41;-1,79;0,11;-3,2;0,32;3,26;2,91;0,22;-1,95;0,23;9402,36;-28651,07;-1,09;1;-7;0,49;5,09;11,38;0,96;0,91;0,96;14753,53;-22043,66;0,69;0,89;-3,8;0,17;1,83;8,47;0,74;2,86;0,73
MGAPH_KF629244_1_ref_aph;Ref;-17514,87;-10161,33;-2,45;0,02;-5,56;0,38;2,56;10,62;0,62;-4,41;0,46;11336,28;-35989,07;-1,46;1;-8,61;0,58;4,57;12,46;0,97;1,09;0,97;28851,15;-25827,74;0,98;0,98;-3,05;0,2;2,01;1,84;0,35;5,5;0,51
MGBLAA_KF628446_1_ref_blaa;Ref;-6293,95;-2031,91;-0,49;0;-1,46;0,05;0,46;0,09;-0,01;-0,22;-0,01;8698,66;-36074,49;-1,49;1;-8,02;0,61;5,72;12,06;0,97;0,4;0,97;14992,61;-34042,59;-0,99;1;-6,56;0,56;5,26;11,97;0,98;0,62;0,98
Qnr-A1_AY070235_ref_qnr;Ref;6867,23;-8741,23;-2,84;0,84;-3,85;0,35;3,14;3,56;0,1;-0,11;0,08;13697,05;-23937,53;-0,91;1;-2,97;0,56;4,84;10,95;0,97;1,08;0,97;6829,82;-15196,29;1,93;0,16;0,88;0,2;1,7;7,39;0,86;1,19;0,89
HGF-1_ACT97382_1_ref_blaa;Ref;-7673,22;-3445,05;-0,84;0;-2,95;0,12;0,73;0,32;0,02;-0,66;0,02;9377,11;-35968,75;-1,69;1;-8,73;0,6;5,57;12,12;0,97;0,53;0,97;17050,33;-32523,7;-0,84;1;-5,78;0,48;4,84;11,8;0,95;1,19;0,95
AphVIII_AF182845_ref_aph;Ref;-13715,83;-10463,72;-2,78;0,75;-7,06;0,42;2,39;10,94;0,7;-4,42;0,54;9851,95;-29125,79;-1,09;1;-8,7;0,55;4,11;11,68;0,96;1,09;0,97;23567,78;-18662,07;1,68;0,25;-1,64;0,13;1,72;0,75;0,26;5,51;0,43
cphA1_NC_000918_ref_blab1;Ref;-5761,3;-26,44;-0,01;0;-0,02;-0,09;0,31;0,81;0,14;-1,49;0,14;10853,56;-36219,87;-0,07;1;-5,44;0,26;3,7;11,23;0,97;0,93;0,97;16614,86;-36193,43;-0,06;1;-5,42;0,35;3,39;10,43;0,83;2,42;0,83
AOCefta1_ACS83735_1_ref_blad;Ref;-1914,1;-2106,87;-0,56;0;-0,62;0,08;1,23;0,36;0,04;-0,07;0,03;8604,61;-31910,95;-1,56;1;-6,06;0,46;4,84;11,58;0,97;0,85;0,97;10518,71;-29804,08;-1;1;-5,44;0,38;3,62;11,22;0,93;0,92;0,94
MGBLAD_KF627815_1_ref_blad;Ref;-1127,65;798,81;0,21;0;1,02;-0,01;-0,11;-0,14;0;-0,02;-0,01;8577,01;-29578,82;-1,1;1;-7,13;0,5;4,27;11,56;0,97;0,78;0,97;9704,65;-30377,63;-1,31;1;-8,15;0,51;4,38;11,7;0,97;0,8;0,98
OXA_114_EU188842_ref_blad;Ref;-892,15;-2199,63;-0,57;0;-1,33;0,04;0,48;0,41;0,04;0,02;0,02;9075,12;-30968,79;-1,22;1;-7,08;0,45;4,14;11,56;0,97;1;0,97;9967,26;-28769,16;-0,65;1;-5,75;0,41;3,66;11,16;0,93;0,98;0,95
OXA_12_U10251_ref_blad;Ref;666,81;-1588,45;-0,43;0;-1,32;-0,03;-0,23;0,65;0,05;-0,4;0,04;10938,76;-30112,46;-1,36;1;-8,44;0,44;4,41;11,56;0,97;0,92;0,97;10271,95;-28524,01;-0,94;1;-7,12;0,47;4,65;10,91;0,91;1,32;0,92
OXA_209_JF268688_ref_blad;Ref;-1975,46;26,01;0,01;0;0,31;0,05;0,53;-0,02;0,01;-0,23;-0,01;7902,73;-32321,32;-1,03;1;-7,7;0,47;4,44;11,56;0,97;0,72;0,97;9878,2;-32347,33;-1,04;1;-8,01;0,41;3,92;11,58;0,96;0,95;0,97
OXA_22_AF064820_ref_blad;Ref;-2274,12;-1262,46;-0,33;0;-2,63;0,06;0,41;0,55;0,04;-0,56;0,02;8928,2;-30445,65;-1,27;1;-8,8;0,53;4,83;11,7;0,97;0,85;0,97;11202,33;-29183,18;-0,95;1;-6,17;0,47;4,42;11,16;0,93;1,41;0,95
OXA_258_HE614014_ref_blad;Ref;-564,62;-2033,22;-0,53;0;-1,36;0,11;1,3;0,48;0,03;0,14;0,02;9156,45;-31428,23;-1,33;1;-6,58;0,47;4,35;11,76;0,97;0,96;0,97;9721,06;-29395,01;-0,8;1;-5,22;0,36;3,04;11,28;0,94;0,82;0,95
OXA_42_AJ488302_ref_blad;Ref;-4112,33;-3027,46;-0,8;0;-2,1;0,09;0,99;1,44;0,12;-0,8;0,11;8500,33;-31164,94;-1,39;1;-8,27;0,5;4,98;11,63;0,97;1,09;0,97;12612,67;-28137,48;-0,6;1;-6,17;0,41;3,99;10,18;0,85;1,89;0,86
OXA_50_AM117128_ref_blad;Ref;-1557,64;-2081,35;-0,56;0;-2,24;0,14;0,74;0,04;0,01;-0,18;0,01;8232,65;-30662,02;-1,4;1;-8,35;0,6;4,85;11,6;0,97;1,01;0,97;9790,29;-28580,67;-0,84;1;-6,11;0,46;4,11;11,56;0,96;1,19;0,96
MGBLAA_KF628227_1_ref_blaa;Ref;-8174,54;-2404,33;-0,57;0;-2,45;0,21;1,07;0,2;0;-0,44;0;8534,35;-34485,11;-1,25;1;-7,64;0,62;5,42;12,12;0,97;0,39;0,97;16708,89;-32080,78;-0,68;1;-5,19;0,41;4,35;11,91;0,97;0,83;0,97
CBLA-1_ACT97374_1_ref_blaa;Ref;-12259,18;-3023,91;-0,72;0;-2,1;0,11;1,09;0,78;0,05;-1,38;0,05;9154,99;-35136,07;-1,37;1;-7,84;0,56;5,49;12,12;0,97;0,38;0,97;21414,17;-32112,16;-0,65;1;-5,74;0,46;4,4;11,34;0,92;1,76;0,92
GES_1_HM370522_ref_blaa;Ref;-18887,41;-6252,21;-1,54;0,02;-2,58;0,2;2,11;2,97;0,18;-1,02;0,16;8865,7;-32215,57;-1,35;1;-6,76;0,43;4,86;11,95;0,97;1,13;0,97;27753,11;-25963,36;0,19;0,98;-4,18;0,23;2,76;8,98;0,79;2,15;0,81
BLR12_ACH58990_1_ref_blab3;Ref;-12064,31;-5673,4;-1,37;0;-3,93;0,3;1,5;2,5;0,14;-1,79;0,11;9931,68;-33877,01;-1,24;1;-6,2;0,61;5,26;11,93;0,97;0,72;0,97;21995,99;-28203,61;0,13;1;-2,27;0,31;3,75;9,43;0,84;2,51;0,86
LEN_1_X04515_ref_blaa;Ref;-5507,2;-2843,72;-0,72;0;0,84;0,07;0,95;1,57;0,1;-1,75;0,09;7772,2;-31835,82;-1,24;1;-5,42;0,39;4,66;11,88;0,97;0,22;0,97;13279,4;-28992,09;-0,52;1;-6,26;0,33;3,71;10,31;0,87;1,97;0,88
HGC-1_ACT97458_1_ref_blaa;Ref;-17574,33;-7229,06;-1,72;0,29;-5,66;0,22;1,85;2,21;0,14;-1,61;0,13;9498,35;-36013,66;-1,56;1;-7,85;0,52;5,2;12,17;0,97;0,47;0,97;27072,67;-28784,6;0,16;0,71;-2,19;0,3;3,36;9,96;0,83;2,08;0,85
Aph3_IIc_HQ424460_ref_aph;Ref;-7718,69;-7309,81;-1,94;0,53;-5,55;0,36;2,07;2,9;0,22;-1,5;0,23;9039,99;-28633,36;-0,92;1;-8,02;0,5;4,08;11,74;0,97;1,02;0,97;16758,68;-21323,55;1,02;0,47;-2,47;0,14;2,01;8,84;0,74;2,52;0,74
AIM_1_CAQ53840_1_ref_blab1;Ref;-12554,12;-7032,45;-1,64;0,36;-4,31;0,21;1,68;4,22;0,26;-1,7;0,22;22211,39;-31975,78;-0,95;1;-5,94;0,47;5,12;12,03;0,97;1,24;0,97;34765,52;-24943,33;0,69;0,64;-1,63;0,26;3,44;7,81;0,71;2,94;0,75
SFB_1_AAT90847_1_ref_blab1;Ref;-5461,25;-5409,81;-1,57;0,55;-3,68;0,45;2,8;3,66;0,29;-2,55;0,33;6549,27;-27299,94;-1,46;1;-7,7;0,61;5,23;11,1;0,97;0,69;0,97;12010,52;-21890,13;0,11;0,45;-4,02;0,17;2,43;7,45;0,69;3,24;0,65
FRAMP1_1_AFH53879_1_ref_blaa;Ref;-34375,73;-5114,82;-1,21;0,44;-5,82;0,01;0,38;1,58;0,14;-2,02;0,12;8899,7;-32177,18;-0,91;1;-7,24;0,48;4,77;12,17;0,97;0,4;0,97;43275,43;-27062,36;0,3;0,56;-1,42;0,47;4,39;10,59;0,84;2,42;0,85
QnrC_EU917444_ref_qnr;Ref;2567,73;-7712,71;-2,47;0,62;-4,86;0,3;2,39;3,02;0,05;-0,29;0,04;11507,7;-25123,17;-1,07;1;-4,3;0,49;4,64;10,86;0,97;1,15;0,97;8939,97;-17410,46;1,4;0,38;0,56;0,19;2,25;7,83;0,93;1,44;0,93
BLR19_ACH59005_1_ref_blab3;Ref;-23516,8;-5718,71;-1,35;0,08;-6,88;0,2;1,61;2,12;0,13;-1,26;0,12;9696,35;-33766,75;-1,16;1;-6,99;0,55;5,49;11,82;0,97;1,01;0,98;33213,16;-28048,04;0,19;0,92;-0,11;0,35;3,87;9,7;0,84;2,27;0,86
Aph9_Ia_U94857_ref_aph;Ref;-21765,56;-10724,14;-2,29;0,35;-8,6;0,46;2,88;7,71;0,44;-3,01;0,38;16851,97;-41563,07;-1,51;1;-9,43;0,68;5,93;12,98;0,97;1,34;0,98;38617,53;-30838,94;0,79;0,65;-0,83;0,23;3,05;5,27;0,53;4,35;0,6
MGBLAA_KF627498_1_ref_blaa;Ref;-6640,32;-2084,9;-0,5;0;-1,18;0,14;1,46;0,26;0,01;-0,29;0,01;11419,87;-34618,42;-1,3;1;-8,22;0,52;5,69;12,23;0,97;0,75;0,98;18060,19;-32533,52;-0,8;1;-7,04;0,38;4,23;11,97;0,97;1,04;0,97
Qnr-S5_HQ631377_ref_qnr;Ref;2573,69;-9006,78;-2,93;0,86;-4,58;0,44;3,83;5,53;0,34;-2,13;0,26;12945,49;-24744,58;-1,02;1;-3,67;0,58;5,06;11,02;0,98;0,93;0,98;10371,8;-15737,8;1,91;0,14;0,91;0,13;1,23;5,48;0,63;3,06;0,71
Aph3_IIb_X90856_ref_aph;Ref;-12095,05;-11821,32;-3,12;0,74;-5,57;0,47;3,07;11,4;0,75;-4,31;0,59;8834,1;-30091,66;-1,11;1;-7,51;0,6;4,38;11,74;0,97;0,95;0,98;20929,15;-18270,34;2,02;0,26;-1,94;0,12;1,31;0,34;0,22;5,26;0,38
BLR17_ACH58994_1_ref_blab3;Ref;-20169;-4944,44;-1,19;0,19;-3,51;0,3;1,72;3,17;0,2;-1,47;0,19;9928,21;-33789,56;-1,14;1;-6,85;0,67;5,62;11,99;0,98;0,83;0,98;30097,21;-28845,12;0,05;0,81;-3,34;0,37;3,89;8,82;0,77;2,3;0,79
VEB_1_DQ393569_ref_blaa;Ref;-38527,82;-7153,04;-1,69;0,01;-8,42;0,2;1,2;3,07;0,22;-1,88;0,21;9264,14;-36188,24;-1,61;1;-8,55;0,54;5,69;12,23;0,98;0,44;0,98;47791,96;-29035,2;0,09;0,99;-0,13;0,33;4,49;9,16;0,75;2,32;0,76
GOB_12_AY647249_ref_blab3;Ref;-17266,18;-4592,73;-1,12;0,17;-4,22;0,24;1,73;2,52;0,16;-1,8;0,15;9848,08;-34244,15;-1,48;1;-6,6;0,53;5,54;11,82;0,98;1,04;0,98;27114,26;-29651,42;-0,35;0,83;-2,38;0,29;3,81;9,3;0,81;2,84;0,83
HGD-1_ACT97465_1_ref_blaa;Ref;-10180,67;-3774,08;-0,84;0;-3,04;-0,04;1,11;0,26;0;-0,4;0;9202,13;-37029,89;-1,23;1;-8,4;0,42;5,45;12,23;0,98;0,39;0,98;19382,8;-33255,8;-0,39;1;-5,36;0,46;4,34;11,97;0,97;0,79;0,97
EBR_1_AAN32638_1_ref_blab1;Ref;-18474,01;-7446,61;-2,24;0,11;-4,21;0,34;2,36;4,47;0,36;-2,18;0,34;7277,09;-29290,01;-1,93;1;-7,92;0,61;5,73;11,04;0,97;1,02;0,98;25751,1;-21843,4;0,31;0,89;-3,71;0,27;3,37;6,56;0,62;3,2;0,64
BLR7_ACH58998_1_ref_blab3;Ref;-15317,16;-5453,48;-1,28;0,13;-3,47;0,25;2,35;3,25;0,19;-1,57;0,16;11719,94;-32912,27;-1,04;1;-7,14;0,51;5,12;11,93;0,98;1,12;0,98;27037,1;-27458,78;0,23;0,87;-3,67;0,26;2,77;8,68;0,79;2,69;0,81
QnrS2_DQ485530_ref_qnr;Ref;12348,35;-8183,78;-2,66;0,76;-3,47;0,33;3,12;3,85;0,09;-1,69;0,25;13537,86;-24301,12;-0,92;1;-3,49;0,59;4,83;11,02;0,98;0,95;0,98;1189,51;-16117,34;1,74;0,24;-0,02;0,26;1,71;7,16;0,89;2,64;0,73
Qnr-AS_FM178379_ref_qnr;Ref;1175,97;-10923,89;-3,55;0,95;-6,18;0,35;3,53;3,03;0,05;-0,01;0,05;10561,4;-25705,89;-1,43;1;-3,94;0,55;5,34;11,08;0,97;1,24;0,98;9385,43;-14782;2,12;0,05;2,24;0,2;1,8;8,06;0,92;1,25;0,93
QnrB25_HQ172108_ref_qnr;Ref;-4461,22;-12634,76;-4,18;0,55;-4,58;0,12;2,83;3;0,15;-1,53;0,13;12419,27;-24796,62;-1,34;1;-4,23;0,57;5,53;10,95;0,98;0,43;0,98;16880,49;-12161,86;2,85;0,45;0,35;0,45;2,7;7,95;0,83;1,96;0,85
Qnr-S1_AB187515_ref_qnr;Ref;2022,87;-9944,75;-3,23;0,9;-4,37;0,46;4,36;5,15;0,32;-2,01;0,27;12914,53;-24894,57;-1,13;1;-3,66;0,58;5,33;11,08;0,98;0,84;0,98;10891,66;-14949,83;2,1;0,1;0,71;0,12;0,97;5,93;0,66;2,85;0,71
OXA_243a_JX206446_ref_blad;Ref;-1925,78;-1701,95;-0,44;0;-2,08;0,07;0,69;0,22;0,04;-0,32;0,02;8584,84;-30877,49;-1,24;1;-7,72;0,5;4,82;11,63;0,98;0,88;0,98;10510,62;-29175,54;-0,8;1;-5,64;0,43;4,13;11,4;0,94;1,2;0,96
OXA_347_JN086160_ref_blad;Ref;-1977,13;-388,25;-0,1;0;-0,34;0,07;-0,07;-0,08;0;0,07;0,01;7813,22;-32447,14;-0,97;1;-6,32;0,45;3,83;11,68;0,97;1,08;0,98;9790,35;-32058,89;-0,87;1;-5,98;0,38;3,89;11,77;0,97;1,01;0,97
OXA_62_AY423074_ref_blad;Ref;-3746,42;-217,82;-0,05;0;-0,21;-0,07;-0,84;-0,06;0,02;-0,57;0,01;6643,67;-30689,1;-0,56;1;-6,5;0,39;3,02;11,7;0,98;0,49;0,98;10390,09;-30471,28;-0,51;1;-6,29;0,46;3,86;11,77;0,97;1,06;0,97
OXA_9_NC_015515_ref_blad;Ref;-2466,23;-2505,51;-0,64;0;-2;-0,05;-0,02;0,04;0,02;-0,1;0,01;8618,07;-31784,65;-1,43;1;-8,33;0,36;3,75;11,56;0,98;0,96;0,98;11084,3;-29279,14;-0,79;1;-6,33;0,41;3,77;11,52;0,96;1,06;0,97
SPIE_YP_002313699_1_ref_blad;Ref;-2130,19;-1347,94;-0,34;0;-0,49;0,03;0,25;0,47;0,04;-0,45;0,02;7317,67;-33308,65;-1,09;1;-6,52;0,56;4,22;11,74;0,98;0,55;0,98;9447,86;-31960,71;-0,75;1;-6,03;0,53;3,98;11,28;0,94;1;0,96
GOB_13_AY647250_ref_blab3;Ref;-19373,15;-5983,04;-1,45;0,01;-3,83;0,13;1,26;2,49;0,12;-1,18;0,11;9681,73;-34322,23;-1,55;1;-6,59;0,58;5,74;11,99;0,98;0,97;0,98;29054,88;-28339,2;-0,09;0,99;-2,76;0,45;4,48;9,5;0,86;2,15;0,87
QnrB7_EU043311_ref_qnr;Ref;-2329,81;-10910,91;-3,61;0,67;-5,66;0,29;3,99;3,2;0,11;-1,25;0,09;12395,32;-24883,05;-1,33;1;-3,83;0,58;5,88;10,93;0,98;0,39;0,98;14725,12;-13972,14;2,28;0,33;1,83;0,29;1,89;7,72;0,87;1,64;0,89
